"Area","Flood occurrence (WRI)","Rural population with access to safe drinking-water (JMP)","Total population with access to safe drinking-water (JMP)","Urban population with access to safe drinking-water (JMP)","% of area equipped for irrigation salinized","Area salinized by irrigation","Population affected by water related disease","Area waterlogged by irrigation"
"Denmark",0,100,100,100,NA,NA,NA,NA
"Djibouti",2.9,64.7,90,97.4,NA,NA,NA,NA
"Dominica",3.6,91.8,94.4,95.7,NA,NA,NA,NA
"Dominican Republic",3.7,81.9,84.7,85.4,16.233028056,50.33862,NA,NA
"Ecuador",3.2,75.5,86.9,93.4,NA,NA,8.57,NA
"Egypt",2.5,99,99.4,100,23.541721161,900,NA,NA
"El Salvador",3.8,86.5,93.8,97.5,NA,NA,12,NA
"Equatorial Guinea",0,31.5,47.9,72.5,NA,NA,NA,NA
"Eritrea",2.5,53.3,57.8,73.2,NA,NA,NA,NA
"Estonia",1.1,99,99.6,100,NA,NA,NA,NA
"Eswatini",3.1,68.9,74.1,93.6,NA,NA,2.926,7.46
"Ethiopia",3.2,48.6,57.3,93.1,NA,NA,NA,NA
"Fiji",NA,91.2,95.7,99.5,NA,NA,NA,NA
"Finland",0.2,100,100,100,NA,NA,NA,NA
"France",2.5,100,100,100,NA,NA,NA,NA
"Gabon",0.7,66.7,93.2,97.2,NA,NA,NA,NA
"Gambia",1.5,84.4,90.2,94.2,NA,NA,NA,0.2077
"Georgia",3.6,100,100,100,82.199710564,113.6,NA,NA
"Germany",2.9,100,100,100,NA,NA,NA,NA
"Ghana",3,84,88.7,92.6,4.789644013,1.48,NA,NA
"Greece",2.4,100,100,100,NA,NA,NA,NA
"Grenada",NA,95.3,96.6,99,NA,NA,NA,NA
"Guatemala",3.5,86.8,92.8,98.4,1.481481481,5,1880,NA
"Guinea",1.1,67.4,76.8,92.7,NA,NA,NA,NA
"Guinea-Bissau",1,60.3,79.3,98.8,NA,NA,NA,NA
"Guyana",2.4,98.3,98.3,98.2,NA,NA,NA,NA
"Haiti",3.9,47.6,57.7,64.9,NA,NA,NA,NA
"Holy See",2.9,NA,NA,NA,NA,NA,NA,NA
"Honduras",3.6,83.8,91.2,97.4,NA,NA,NA,NA
"Hungary",3.5,100,100,100,NA,NA,NA,NA
"Iceland",0.1,100,100,100,NA,NA,NA,NA
"India",3.9,92.6,94.1,97.1,4.6875,3300,44000,2460
"Indonesia",3.1,79.5,87.4,94.2,5.950609938,400,5.111,2150
"Iran (Islamic Republic of)",3.2,92.1,96.2,97.7,24.137931034,2100,NA,1000
"Iraq",2.4,70.1,86.6,93.8,75.70212766,2668.5,NA,NA
"Ireland",2.2,97.8,97.9,97.9,NA,NA,NA,NA
"Israel",2.9,100,100,100,12.364444444,27.82,NA,NA
"Italy",2.6,100,100,100,NA,NA,NA,NA
"Jamaica",3.5,89.4,93.8,97.5,NA,NA,NA,NA
"Japan",3,100,100,100,NA,NA,NA,NA
"Jordan",3,92.3,96.9,97.8,2.540942994,2.277,NA,1.5
"Kazakhstan",1.7,85.6,92.9,99.4,17.134092901,391,3.22,22.9
"Kenya",3.8,56.8,63.2,81.6,14.972301243,30,NA,NA
"Kiribati",NA,50.6,66.9,87.3,NA,NA,NA,NA
"Kuwait",0.6,99,99,99,24.028268551,4.08,NA,NA
"Kyrgyzstan",2.1,86.2,90,96.7,4.846289407,49.5,122.8,35.4
"Lao People's Democratic Republic",3.9,69.4,75.7,85.6,NA,NA,NA,NA
"Latvia",1.8,98.3,99.3,99.8,NA,NA,NA,NA
"Lebanon",2.8,99,99,99,1.111111111,1,NA,3
"Lesotho",3.3,77,81.8,94.6,NA,NA,NA,NA
"Liberia",1.9,62.6,75.6,88.6,NA,NA,NA,NA
