"Area","Agricultural water withdrawal as % of total renewable water resources","Flood occurrence (WRI)","Rural population with access to safe drinking-water (JMP)","SDG 6.4.1. Industrial Water Use Efficiency","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency","SDG 6.4.1. Services Water Use Efficiency","SDG 6.4.1. Water Use Efficiency","SDG 6.4.2. Water Stress","Total population with access to safe drinking-water (JMP)","Urban population with access to safe drinking-water (JMP)","% of area equipped for irrigation salinized","Area salinized by irrigation","Population affected by water related disease","Area waterlogged by irrigation"
"Chad",1.470897155,3,44.8,29.689651525,0.094125198,41.226712207,8.432580579,4.294921875,50.8,71.8,NA,NA,NA,NA
"Chile",3.187225099,2.5,93.3,48.66545226,0.210938644,121.859752093,7.543699285,8.982121089,99,99.7,3.030961816,33.6,NA,NA
"China",12.718733056,3.5,93,66.99408625,2.51183631,88.282316569,31.207074365,41.518528797,95.5,97.5,8.852246753,6700,NA,NA
"Colombia",0.975052163,3.7,73.8,245.247238625,0.103343378,62.932772368,10.430003215,4.39097809,91.4,96.8,96.209043009,300,7.089,NA
"Comoros",0.391666667,1.6,89.1,194.804284758,0.123116406,127.526366592,71.010734913,0.833333333,90.1,92.6,NA,NA,NA,NA
"Congo",0.000480769,1.7,40,160.030243426,0.230108458,67.558615214,88.823664833,0.027446301,76.5,95.8,NA,NA,175.2,NA
"Cook Islands",NA,NA,99.9,NA,NA,NA,NA,NA,99.9,99.9,NA,NA,NA,NA
"Costa Rica",1.852119631,3.1,91.9,49.612793432,0.458763553,41.423088728,17.132755063,5.881962457,97.8,99.6,NA,NA,315.9,NA
"Croatia",0.072037915,3,99.7,20.144358563,0.696018034,85.519841254,47.377031721,1.47843486,99.6,99.6,NA,NA,NA,NA
"Cuba",11.854669465,3,89.8,20.245340371,0.101642742,42.259085046,12.542221584,23.939446069,94.9,96.4,62.588993726,400,1033,NA
"Cyprus",23.076923077,0,100,169.086198787,0.797219144,175.593380972,76.670046198,32.121377802,100,100,NA,NA,NA,NA
"Czechia",0.281368821,3.2,100,81.97508693,1.615031412,210.013860847,139.281972914,20.513990268,100,100,NA,NA,NA,NA
"Côte d'Ivoire",0.713097219,2.3,68.8,49.592510149,0.341032726,111.21312995,41.130988533,5.087565674,81.9,93.1,NA,NA,1423,NA
"Democratic People's Republic of Korea",8.567725211,3,99.4,5.037540151,0.354007022,6.256235346,1.588867744,27.740467799,99.7,99.9,NA,NA,NA,NA
"Democratic Republic of the Congo",0.005604053,1.9,31.2,127.404549568,0.421815345,39.601658085,54.336055067,0.226883505,52.4,81.1,NA,NA,NA,2
"Denmark",8.788933333,0,100,1211.723618364,0.913321645,586.481196861,301.596695717,26.40427258,100,100,NA,NA,NA,NA
"Djibouti",1,2.9,64.7,NA,13.318698711,166.361760825,NA,6.333333333,90,97.4,NA,NA,NA,NA
"Dominica",0.5,3.6,91.8,NA,0.005126002,15.64660993,NA,10,94.4,95.7,NA,NA,NA,NA
"Dominican Republic",32.182978723,3.7,81.9,44.279618157,0.226489062,61.278950969,9.179056816,39.553314121,84.7,85.4,16.233028056,50.33862,NA,NA
"Ecuador",1.825497287,3.2,75.5,52.568838901,0.633200543,41.626641591,8.852315761,6.782352941,86.9,93.4,NA,NA,8.57,NA
"Egypt",106.695652174,2.5,99,23.144052907,0.806754178,22.054842356,5.310474966,141.16575592,99.4,100,23.541721161,900,NA,NA
"El Salvador",1.973825797,3.8,86.5,25.41722526,0.099931204,42.387783156,19.595128618,13.212726139,93.8,97.5,NA,NA,12,NA
"Equatorial Guinea",0.003846154,0,31.5,1689.638278109,NA,277.186121857,NA,0.183503244,47.9,72.5,NA,NA,NA,NA
"Eritrea",7.518796993,2.5,53.3,674.98111411,0.02037705,39.196187231,3.26678745,11.175115207,57.8,73.2,NA,NA,NA,NA
"Estonia",0.038820623,1.1,99,6.023956109,0.575024857,266.026213068,24.742502682,10.819801331,99.6,100,NA,NA,NA,NA
"Eswatini",22.305986696,3.1,68.9,70.389085061,0.119438235,61.62049696,3.859677388,77.559912854,74.1,93.6,NA,NA,2.926,7.46
"Ethiopia",7.940163934,3.2,48.6,398.960081033,0.198055448,44.327401735,5.518588056,32.257186544,57.3,93.1,NA,NA,NA,NA
"Fiji",0.175131349,NA,91.2,63.572121284,0.459152815,90.436494894,34.408637525,0.29737303,95.7,99.5,NA,NA,NA,NA
"Finland",0.909090909,0.2,100,27.921864444,0.018583252,321.267979698,61.856086283,7.114062129,100,100,NA,NA,NA,NA
"France",1.630474938,2.5,100,22.667760642,1.955815875,351.197222554,91.130518347,21.598137074,100,100,NA,NA,NA,NA
"Gabon",0.024277108,0.7,66.7,507.096315033,0.306867563,78.092039016,99.042562972,0.502166065,93.2,97.2,NA,NA,NA,NA
"Gambia",0.49,1.5,84.4,12.444909316,0.147675477,23.6803646,12.256417104,2.209656372,90.2,94.2,NA,NA,NA,0.2077
"Georgia",1.184083373,3.6,100,10.500994435,0.331615802,21.39263249,9.378017703,5.240977199,100,100,82.199710564,113.6,NA,NA
"Germany",0.697838312,2.9,100,60.995642551,2.066742466,217.518786311,123.550234295,35.351657072,100,100,NA,NA,NA,NA
"Ghana",1.903914591,3,84,186.069320979,0.181356837,106.898157502,34.068909802,6.314734089,88.7,92.6,4.789644013,1.48,NA,NA
"Greece",11.852339181,2.4,100,74.184542069,0.499318566,86.621862759,17.043236732,20.683795266,100,100,NA,NA,NA,NA
"Grenada",1.05,NA,95.3,NA,1.991023303,59.717197053,NA,7.05,96.6,99,NA,NA,NA,NA
"Guatemala",1.47447424,3.5,86.8,24.858373209,0.928120898,57.911537315,19.583843613,5.742097081,92.8,98.4,1.481481481,5,1880,NA
"Guinea",0.265486726,1.1,67.4,60.096675079,0.055202352,21.3852863,9.615210972,1.369230769,76.8,92.7,NA,NA,NA,NA
"Guinea-Bissau",0.458598726,1,60.3,14.412385828,0.110171359,21.627129088,4.86766931,1.495726496,79.3,98.8,NA,NA,NA,NA
"Guyana",0.502952029,2.4,98.3,233.817084165,0.012865178,48.708727319,5.380527957,3.298401827,98.3,98.2,NA,NA,NA,NA
